beta_var_choices,beta_deg_var_choices,vopt_choices,poisson_unc_choices
40621,40621,40621,40621
24519,24519,24519,24519
17102,50664,39991,46880
20402,1662,103,9948
19103,59773,62751,8505
26589,57228,59692,60633
19560,44658,53575,1593
48444,62010,33052,1974
1243,4592,18270,39683
3871,7138,9319,29835
7881,47837,66167,60659
3111,59692,43151,15472
6565,33678,31493,30130
21783,43151,26352,41662
27560,28350,5644,20532
39318,5644,50939,1757
6039,63070,13892,62322
15197,2954,24689,32280
26459,36185,4394,49398
2844,69314,29567,31893
5275,33790,68687,63328
57430,42098,57228,57024
62826,6581,14651,22219
45386,60191,42814,31672
15154,12408,1828,63595
12022,53575,7564,64216
47752,68492,66951,23385
49067,59576,56349,41562
51014,68536,38189,2376
3417,13892,3620,12687
61836,26352,17695,58084
779,65460,42837,16799
48886,50242,2954,61019
33754,24689,65442,31561
42950,66114,44658,14164
67239,39991,12238,24125
58675,17864,59553,39405
35957,44655,37112,36128
69885,42814,63070,49928
13882,937,22852,67268
7321,31570,36185,12782
54719,33052,59773,57947
19696,68844,62546,44100
21235,43887,22063,56118
18792,9947,31570,28215
45421,44705,68844,2322
19091,12238,7330,5129
27077,66951,43102,31000
65323,65048,13170,26548
34778,32580,18047,6706
5334,13445,25019,35224
50443,31663,57291,55844
52610,34234,66092,48588
32510,21018,567,57286
62329,65513,22435,17191
33623,7330,49246,20784
43572,28110,937,56703
13773,45528,1662,20827
58451,31493,69314,11797
10764,27902,50664,38604
6220,65371,781,22643
41718,46058,44705,37910
69082,66167,47019,34996
59324,15492,21018,18510
12929,41155,40315,53976
12676,18047,650,1116
45795,32823,50797,5136
32372,57188,10609,68597
60900,3327,27902,24042
45285,27090,42584,17716
20286,43633,43323,2818
16206,47983,62010,42213
26250,26961,20129,64443
33536,30246,33790,12908
29201,50625,4787,29021
55586,30784,42287,57728
69482,10378,27090,40498
35736,18153,43633,27614
28992,9319,4592,868
63438,42091,28110,27225
9491,21767,30857,5024
37103,37112,5341,33484
25232,34957,46433,22141
12422,34991,19594,47362
8503,4394,6626,46354
42364,54094,69273,45772
49444,46843,19768,19948
25504,51080,38830,38969
60406,12858,18085,25482
23692,63678,48962,627
55667,37133,38883,28116
39309,47817,68536,28405
4149,30757,47817,42952
14591,57395,36788,52439
8428,8212,1438,1123
62058,67155,37081,52422
8453,14651,16184,13162
31743,13345,6453,26667
18324,28446,57310,31184
30016,3632,21559,10336
45784,37618,51099,60115
10364,41067,20552,53979
